IDENTIFICADOR;CARGO;Custo
1;382;0,056
2;2947;0,0
3;2096;0,011
4;383;0,0
5;1885;0,0
6;2214;0,316
7;2461;0,0
8;2215;0,0
9;2053;0,0
10;384;0,363
11;2054;0,146
12;1;0,033
13;1860;0,0
14;107;0,002
15;2464;0,0
16;385;0,0
17;2465;0,071
18;386;0,294
19;2466;0,027
20;2917;0,0
21;2854;0,0
22;387;0,0
23;333;0,19
24;2961;0,0
25;1225;0,112
26;55;0,032
27;388;0,0
28;389;0,39
29;390;0,0
30;1735;0,0
31;1886;0,0
32;2467;0,027
33;2468;0,125
34;2074;0,0
35;2055;0,233
36;1226;0,009
37;2558;0,0
38;2056;0,156
39;231;0,062
40;2469;0,044
41;2420;0,0
42;1420;0,136
43;316;0,0
44;2962;0,0
45;2216;0,054
46;391;0,247
47;1227;0,09
48;2470;0,038
49;2471;0,045
50;2472;0,027
51;1822;0,0
52;2057;0,072
53;2202;0,0
54;2584;0,002
55;2810;0,221
56;2386;0,005
57;1228;0,0
58;2427;0,023
59;2952;0,0
60;2585;0,002
61;2462;0,0
62;392;0,0
63;2473;0,038
64;393;0,0
65;2;0,065
66;317;0,105
67;2474;0,0
68;1482;0,258
69;2475;0,0
70;2918;0,0
71;1421;0,0
72;2476;0,027
73;2477;0,0
74;2858;0,0
75;1736;0,0
76;394;0,0
77;1779;0,192
78;334;0,002
79;2478;0,038
80;1422;0,0
81;318;0,034
82;1229;0,0
83;232;0,064
84;2209;0,0
85;1887;0,0
86;1823;0,037
87;2097;0,0
88;2919;0,354
89;395;0,328
90;2479;0,057
91;2811;0,213
92;2586;0,002
93;1824;0,022
94;2058;0,166
95;2388;0,02
96;1423;0,0
97;396;0,0
98;1888;0,115
99;1889;0,0
100;2812;0,123
101;2559;0,0
102;2480;0,049
103;2813;0,234
104;1890;0,104
105;1893;0,022
106;98;0,0
107;108;0,072
108;2389;0,026
109;2410;0,0
110;1737;0,084
111;2428;0,023
112;2814;0,002
113;2481;0,012
114;2986;0,0
115;2482;0,179
116;2912;0,002
117;2483;0,103
118;397;0,056
119;94;0,15
120;2587;0,19
121;2059;0,178
122;2484;0,168
123;1424;0,231
124;233;0,0
125;398;0,0
126;234;0,0
127;2485;0,038
128;2815;0,002
129;56;0,098
130;2060;0,157
131;399;0,0
132;2547;0,0
133;1891;0,0
134;2203;0,0
135;400;0,0
136;401;0,0
137;2486;0,0
138;2938;0,0
139;402;0,0
140;2987;0,206
141;403;0,0
142;1738;0,0
143;2487;0,0
144;404;0,0
145;2061;0,083
146;109;0,002
147;2098;0,072
148;2488;0,086
149;2429;0,023
150;1892;0,119
151;2430;0,105
152;110;0,002
153;111;0,002
154;405;0,268
155;2489;0,136
156;406;0,0
157;2062;0,054
158;2490;0,081
159;407;0,0
160;2920;0,107
161;2859;0,0
162;2491;0,0
163;2492;0,027
164;2431;0,138
165;408;0,126
166;1483;0,0
167;112;0,002
168;2063;0,113
169;113;0,002
170;1230;0,0
171;6;0,155
172;2432;0,023
173;2387;0,54
174;2493;0,038
175;2816;0,002
176;409;0,0
177;2099;0,072
178;2494;0,06
179;410;0,126
180;2495;0,027
181;2496;0,027
182;1739;0,0
183;1861;0,347
184;2433;0,105
185;1425;0,0
186;2907;0,034
187;319;0,072
188;57;0,07
189;2963;0,0
190;2555;0,0
191;2921;0,0
192;411;0,0
193;1862;0,0
194;2548;0,0
195;1484;0,0
196;2497;0,071
197;3;0,0
198;1426;0,044
199;114;0,002
200;1780;0,194
201;1427;0,066
202;1485;0,0
203;2498;0,114
204;2434;0,012
205;412;0,137
206;2463;0,0
207;2435;0,121
208;413;0,0
209;2499;0,223
210;2500;0,06
211;1894;0,011
212;2501;0,234
213;1809;0,108
214;2502;0,136
215;1428;0,023
216;2964;0,0
217;2503;0,06
218;2988;0,0
219;1740;0,098
220;414;0,207
221;2550;0,0
222;1863;0,391
223;2504;0,125
224;235;0,0
225;415;0,0
226;1864;0,271
227;115;0,072
228;2217;0,0
229;1231;0,0
230;320;0,044
231;2505;0,071
232;2506;0,158
233;2436;0,088
234;1232;0,0
235;2588;0,002
236;47;0,085
237;2922;0,076
238;2507;0,004
239;1429;0,131
240;2508;0,0
241;2509;0,071
242;416;0,0
243;1781;0,029
244;2013;0,0
245;2064;0,0
246;2817;0,002
247;236;0,0
248;2510;0,123
249;1895;0,098
250;1486;0,0
251;1487;0,032
252;2100;0,0
253;2065;0,071
254;2989;0,043
255;2066;0,092
256;2818;0,002
257;2939;0,0
258;2589;0,002
259;417;0,0
260;2819;0,016
261;335;0,002
262;1896;0,126
263;1741;0,0
264;1488;0,273
265;1796;0,056
266;418;0,0
267;2511;0,114
268;237;0,054
269;2512;0,071
270;1489;0,0
271;1233;0,0
272;419;0,0
273;2513;0,0
274;420;0,0
275;99;0,0
276;1897;0,0
277;2514;0,136
278;1490;0,065
279;2515;0,049
280;2390;0,005
281;2940;0,0
282;1430;0,07
283;421;0,0
284;2990;0,002
285;116;0,002
286;1491;0,0
287;422;0,0
288;423;0,0
289;424;0,0
290;2563;0,069
291;425;0,069
292;1492;0,0
293;2218;0,0
294;2516;0,071
295;426;0,0
296;1898;0,0
297;427;0,0
298;2517;0,049
299;1782;0,097
300;321;0,116
301;428;0,0
302;1825;0,059
303;1899;0,032
304;2991;0,064
305;2992;0,0
306;2101;0,0
307;429;0,0
308;430;0,0
309;431;0,011
310;2014;0,0
311;37;0,0
312;1493;0,0
313;1494;0,0
314;1865;0,0
315;432;0,0
316;433;0,348
317;434;0,0

Custo Total;17,7;
