IDENTIFICADOR;CARGO;PERCENT_PRI;DISTANCE_KM
1;1;0,85417;1414,13
1;2;0,85417;1414,13
1;3;0,85417;1414,13
1;4;0,85417;1414,13
1;5;0,85417;1414,13
1;6;0,85417;1414,13
1;7;0,85417;1414,13
1;8;0,85417;1414,13
1;9;0,85417;1414,13
1;10;0,85417;1414,13
1;11;0,85417;1414,13
1;12;0,85417;1414,13
1;13;0,85417;1414,13
1;14;0,85417;1414,13
1;15;0,85417;1414,13
1;16;0,85417;1414,13
1;17;0,85417;1414,13
1;18;0,85417;1414,13
1;19;0,85417;1414,13
1;20;0,85417;1414,13
1;21;0,85417;1414,13
1;22;0,85417;1414,13
1;23;0,85417;1414,13
1;24;0,85417;1414,13
1;25;0,85417;1414,13
1;26;0,85417;1414,13
1;27;0,85417;1414,13
1;28;0,85417;1414,13
1;29;0,85417;1414,13
1;30;0,85417;1414,13
1;55;0,89583;1472,53
1;56;0,89583;1472,53
1;57;0,89583;1472,53
1;58;0,89583;1472,53
1;59;0,89583;1472,53
1;60;0,89583;1472,53
1;61;0,89583;1472,53
1;62;0,89583;1472,53
1;63;0,89583;1472,53
1;64;0,89583;1472,53
1;65;0,89583;1472,53
1;66;0,89583;1472,53
1;67;0,89583;1472,53
1;68;0,89583;1472,53
1;69;0,89583;1472,53
1;70;0,89583;1472,53
1;71;0,89583;1472,53
1;72;0,89583;1472,53
1;73;0,89583;1472,53
1;74;0,89583;1472,53
1;75;0,89583;1472,53
1;76;0,89583;1472,53
1;77;0,89583;1472,53
1;78;0,89583;1472,53
1;79;0,89583;1472,53
1;80;0,89583;1472,53
1;81;0,89583;1472,53
1;82;0,89583;1472,53
1;83;0,89583;1472,53
1;84;0,89583;1472,53
1;85;0,89583;1472,53
1;86;0,89583;1472,53
1;87;0,89583;1472,53
1;88;0,89583;1472,53
1;89;0,89583;1472,53
1;90;0,89583;1472,53
1;91;0,89583;1472,53
1;92;0,95833;2640,69
1;93;0,95833;2640,69
1;103;0,16667;368,14
1;104;0,16667;368,14
1;107;0,70833;1977,88
1;108;0,70833;1977,88
1;109;0,70833;1977,88
1;110;0,70833;1977,88
1;111;0,70833;1977,88
1;112;0,70833;1977,88
1;113;0,70833;1977,88
1;114;0,70833;1977,88
1;115;0,70833;1977,88
1;116;0,70833;1977,88
1;117;0,70833;1977,88
1;118;0,70833;1977,88
1;119;0,70833;1977,88
1;120;0,70833;1977,88
1;121;0,70833;1977,88
1;122;0,70833;1977,88
1;123;0,70833;1977,88
1;124;0,70833;1977,88
1;125;0,70833;1977,88
1;126;0,70833;1977,88
1;127;0,70833;1977,88
1;128;0,70833;1977,88
1;129;0,70833;1977,88
1;130;0,70833;1977,88
1;131;0,70833;1977,88
1;132;0,70833;1977,88
1;133;0,70833;1977,88
1;134;0,70833;1977,88
1;135;0,70833;1977,88
2;1;0,5625;2934,83
2;2;0,5625;2934,83
2;3;0,5625;2934,83
2;4;0,5625;2934,83
2;5;0,5625;2934,83
2;6;0,5625;2934,83
2;7;0,5625;2934,83
2;8;0,5625;2934,83
2;9;0,5625;2934,83
2;10;0,5625;2934,83
2;11;0,5625;2934,83
2;12;0,5625;2934,83
2;13;0,5625;2934,83
2;14;0,5625;2934,83
2;15;0,5625;2934,83
2;16;0,5625;2934,83
2;17;0,5625;2934,83
2;18;0,5625;2934,83
2;19;0,5625;2934,83
2;20;0,5625;2934,83
2;21;0,5625;2934,83
2;22;0,5625;2934,83
